Product Name,Product Price,Product Rating
Lenovo IdeaTab,$69.99,7 reviews
IdeaTab A3500L,$88.99,7 reviews
Acer Iconia,$96.99,7 reviews
Galaxy Tab 3,$97.99,2 reviews
Iconia B1-730HD,$99.99,1 reviews
Memo Pad HD 7,$101.99,10 reviews
Asus MeMO Pad,$102.99,14 reviews
Amazon Kindle,$103.99,3 reviews
Galaxy Tab 3,$107.99,14 reviews
IdeaTab A8-50,$121.99,13 reviews
MeMO Pad 7,$130.99,11 reviews
IdeaTab A3500-H,$148.99,9 reviews
IdeaTab S5000,$172.99,8 reviews
Galaxy Tab 4,$233.99,1 reviews
Galaxy Tab,$251.99,14 reviews
MeMo PAD FHD 10,$320.99,7 reviews
Galaxy Note,$399.99,12 reviews
Galaxy Note,$489.99,9 reviews
iPad Mini Retina,$537.99,8 reviews
Galaxy Note 10.1,$587.99,6 reviews
Apple iPad Air,$603.99,7 reviews
